"Id";"country";"actor_name";"edad";"year_nacimiento";"pelis";"series";"genero_def";"edad_inicio_carrera";"genero_cine_main";"porc_genero_cine_main";"type_race";"prob_race";"age_by_picture";"year_nacimiento_from_1875";"author_graph";"profesion_main";"total_trabajos";"porc_profesion_main"
"491330";"United States of America";"Jordan Peele";42;1979;14;21;"M";33;"Comedia";47;"black";100;30;104;"";;;
"1493";"United States of America";"Nick Nolte";80;1941;74;4;"M";35;"Drama";43;"white";99;46;66;"";;;
"19544";"Spain";"Terele Pavez";;1939;33;1;"F";;"Comedia";47;"white";53;40;64;"";;;
"1924";"France";"Alain Cuny";;1908;15;0;"M";;"Drama";47;"white";99;31;33;"";;;
"137529";"Canada";"Erica Cerra";41;1979;5;14;"F";26;"Accion";43;"white";65;29;104;"";;;
"41954";"United States of America";"Dominic Chianese";90;1931;17;7;"M";46;"Crimen";33;"middle eastern";27;35;56;"";;;
"1560";"United States of America";"George Sidney";;1916;16;0;"M";;"Comediamusical";33;"white";96;48;41;"";;;
"264824";"France";"Flavio Parenti";41;1979;;;"M";;"";;"white";96;24;104;;;;
"144248";"United Kingdom";"Olivia Colman";47;1974;18;13;"F";30;"Comedia";33;"white";88;32;99;"";;;
"651303";"United States of America";"Jeff Pope (III)";44;1976;;;"M";;"";;"asian";67;31;101;;;;
"113630";"United States of America";"Kathleen Chalfant";76;1945;9;16;"F";49;"Drama";36;"white";70;35;70;"";;;
"465062";"Indonesia";"Julie Estelle";;;;;"F";;"";;"white";93;29;;;;;
"3889";"United Kingdom";"Joan Plowright";91;1929;35;0;"F";39;"Drama";38;"indian";56;31;54;"";;;
"190158";;"Ji-a Park";;;;;"M";;"";;"asian";50;28;;;;;
"4061";"United States of America";"Jenna Elfman";49;1971;14;18;"F";21;"Comedia";53;"white";100;30;96;"";;;
"45499";"France";"Frederic Epaud";;;13;3;"M";;"Drama";31;"white";85;42;;"";;;
"455870";"United States of America";"Elizabeth Olsen";32;1989;20;2;"F";24;"Drama";32;"white";100;23;114;"";;;
"69735";;"Eason Chan";46;1974;;;"M";;"";;"asian";100;25;99;;;;
"3449";"United Kingdom";"Denholm Elliott";;1922;33;0;"M";;"Drama";41;"white";95;32;47;"";;;
"651";"Germany";"Jurgen Prochnow";79;1941;42;3;"M";42;"Drama";36;"black";46;33;66;"";;;
"105076";"United States of America";"David Paetkau";;;10;11;"M";;"Terror";31;"white";94;24;;"";;;
"58347";"United States of America";"Craig T. Nelson";77;1944;31;8;"M";36;"Comedia";38;"white";96;38;69;"";;;
"100185";"United States of America";"Connor Paolo";30;1990;8;6;"M";15;"Drama";33;"white";100;23;115;"";;;
"70731";"France";"Cecile Cassel";38;1982;19;1;"F";22;"Comedia";38;"white";99;29;107;"";;;
"37606";"United States of America";"Catherine Oxenberg";59;1961;;;"F";;"";;"white";78;32;86;;;;
